year	4my3_1	4my3_3	4my3_4	4my3_5
1901	1.4045	1.2213	1.2838	1.1418
1902	1.0857	1.2301	1.1536	0.9895
1903	1.0626	0.6693	1.1537	0.8858
1904	0.1253	0.2424	0.1124	0.237
1905	0.8718	0.8255	0.8815	1.1244
1906	1.2843	1.3571	1.3606	1.3909
1907	0.843	0.7837	0.8477	0.6954
1908	1.0722	0.8014	1.2317	0.9655
1909	0.4756	0.4954	0.2155	0.5183
1910	0.4738	0.7717	0.8011	0.9479
1911	1.2167	1.036	0.9214	1.0643
1912	1.3798	1.1093	0.9763	1.0404
1913	1.3098	1.42	0.8915	1.1158
1914	0.9037	0.9011	0.8958	0.8356
1915	0.8951	1.114	1.077	0.9483
1916	1.1349	1.2527	0.9334	0.8487
1917	1.1939	1.1021	1.0144	1.044
1918	1.2189	1.0424	1.1491	0.9661
1919	0.7683	0.8749	0.864	1.0695
1920	0.9161	1.2227	1.2901	1.4024
1921	1.0004	1.0722	1.0436	1.1157
1922	1.1597	1.6267	1.3977	1.0878
1923	1.0993	0.8261	0.9795	1.0352
1924	0.9293	0.1117	0.5262	0.7471
1925	1.3518	1.2922	1.1385	0.3412
1926	1.3866	1.4885	1.4037	1.3527
1927	1.0239	0.9915	1.2179	0.9057
1928	0.7619	1.004	1.1257	0.8775
1929	0.9435	1.3234	1.1209	1.0424
1930	0.8346	0.6022	0.8233	1.0278
1931	0.2633	0.4771	0.3782	0.9189
1932	0.7318	0.5995	0.5917	0.7618
1933	0.9338	0.8654	0.9211	0.7416
1934	0.6049	0.8678	0.8749	0.8669
1935	0.9135	0.9585	1.0972	0.7604
1936	1.0037	0.9468	0.9385	0.8706
1937	0.7447	0.8437	0.6063	1.016
1938	0.4118	0.6477	0.529	0.722
1939	0.8594	0.3313	0.8776	0.7211
1940	0.9825	0.9754	0.7197	0.7006
1941	0.954	0.8116	0.706	0.7828
1942	1.0376	0.9622	1.1322	0.987
1943	0.8276	1.4466	1.2304	1.0293
1944	1.5836	1.0237	1.1149	1.2006
1945	0.7375	1.117	1.2219	1.3553
1946	1.6685	1.733	1.1558	1.4353
1947	0.5985	1.3703	1.1295	0.5841
1948	1.3355	1.8926	1.1959	1.2469
1949	1.292	1.1356	1.2624	1.2335
1950	1.1792	1.0173	0.8323	1.1262
1951	1.008	1.2876	1.1797	1.1893
1952	1.0769	1.3934	1.1111	1.1419
1953	1.054	1.1535	0.9554	1.3145
1954	1.4468	0.8267	1.177	1.1698
1955	1.5762	1.3326	1.3475	1.4698
1956	1.1432	1.1341	1.0414	1.1631
1957	1.1874	1.2296	1.2178	1.1564
1958	1.506	0.9376	0.9517	0.9056
1959	0.7719	0.9216	0.91	0.6761
1960	0.512	0.7031	1.1813	1.0217
1961	1.626	1.2036	1.2892	1.1396
1962	0.1465	0.5292	0.5669	0.4066
1963	1.0862	1.1082	1.1569	1.0955
1964	1.4014	1.0046	1.0564	0.9779
1965	0.8111	0.5759	0.9132	1.09
1966	1.5637	1.3986	1.4891	1.2839
1967	0.6683	0.716	1.0104	0.932
1968	1.6289	1.198	0.9917	1.2029
1969	1.0708	1.4221	1.3963	1.125
1970	1.1214	0.8877	1.0721	0.9404
1971	0.5384	1.0107	0.7915	1.3522
1972	0.7325	0.5411	1.1136	1.0353
1973	1.0235	1.2621	0.9033	0.7587
1974	0.8893	1.0324	0.8739	0.7612
1975	1.6396	1.1249	1.2563	1.4689
1976	0.7501	0.5109	0.7105	0.8766
1977	0.9301	0.9002	1.1647	0.9546
1978	0.5967	1.2674	0.9665	1.1459
1979	1.136	1.0201	1.4221	1.6395
1980	0.6456	0.7277	0.4873	0.397
1981	1.0494	1.0144	1.0273	1.0938
1982	1.1911	0.7987	1.0526	0.8119
1983	1.081	1.2273	0.9461	0.9902
1984	0.872	0.9286	0.7977	0.9524
1985	1.0092	1.1507	1.2784	1.0684
1986	1.5492	1.0412	1.1779	1.3483
1987	0.8294	0.8317	0.9108	0.6903
1988	0.7099	0.9617	0.9959	0.8324
1989	1.1252	1.2565	0.943	1.0793
1990	0.4136	0.0661	0.2947	0.6246
1991	0.7414	0.9188	1.0326	1.0081
1992	1.1106	1.031	1.1355	1.023
1993	0.9182	1.3642	1.2238	1
1994	1.2406	1.4241	1.2452	1.0845
1995	0.9098	0.4076	0.9458	1.0164
1996	0.6437	0.6876	0.9616	0.8633
1997	1.1929	1.2963	1.1328	1.1768
1998	0.9768	1.1935	0.8737	0.8463
1999	1.1192	1.0408	0.9694	0.8819
2000	1.386	1.0329	1.0717	1.3045
